UNITED KINGDOM (GBR),country_name,outlet_id,outlet_name,primary_domain,format,ownership_type,political_alignment,factual_reliability,primary_audience,language_primary,established_year,last_updated,verified_by,notes,tags_economic,tags_sociocultural,tags_governance,tags_foreign,tags_other,,@
country id,country_name,outlet_id,outlet_name,primary_domain,format,ownership_type,political_alignment,factual_reliability,primary_audience,language_primary,established_year,last_updated,verified_by,notes,tags_economic,tags_sociocultural,tags_governance,tags_foreign,tags_other,,
GBR,United Kingdom,GBR001,BBC News,bbc.co.uk/news,Public Broadcaster,Public Broadcaster,Politically Neutral/Variable,High,National Mass Audience,en,1922,2024-10-15,Reuters Institute 2023,"Under ""Due Impartiality"" mandate",Broad Consensus,"Secular, Multiculturalist",Pro-Democracy,"Pro-Western, Atlanticist",Investigative,,
GBR,United Kingdom,GBR002,The Guardian,theguardian.com,Newspaper-Legacy (Digital-First),Independent (Scott Trust),Anti-Establishment (Centre-Left),High,"Urban/Professional, Progressive",en,1821,2024-10-15,Reuters Institute 2023,Reader-supported model,Social-Democrat,"Socially Liberal, Pro-Environment","Anti-Corruption, Pro-Democracy",Pro-European,"Investigative, Long-form",,
GBR,United Kingdom,GBR003,Daily Telegraph,telegraph.co.uk,Newspaper-Legacy,Corporate Conglomerate,Pro-Establishment (Right),Generally Reliable,"Rural/Suburban, Conservative, Older",en,1855,2024-10-15,Reuters Institute 2023,"""House journal"" of Conservative Party","Free-Market, Pro-Business","Socially Conservative, Traditionalist","Pro-Union (UK), Law & Order",Eurosceptic,,,
GBR,United Kingdom,GBR004,Financial Times,ft.com,Newspaper-Legacy,Publicly Listed (Nikkei),"Pro-Establishment (Centrist, Globalist)",High,Global Business & Policy Elite,en,1888,2024-10-15,Reuters Institute 2023,Authoritative on economics and EU affairs,"Free-Market, Pro-Business",Socially Liberal,Pro-Democracy,"Pro-European, Globalist",Data Journalism,,
GBR,United Kingdom,GBR005,The Times,thetimes.co.uk,Newspaper-Legacy,Corporate Conglomerate (News UK),Centre-Right (Pragmatic Conservative),Generally Reliable,"Urban/Professional, Middle-Class",en,1785,2024-10-15,Reuters Institute 2023,Influential through political editors,Pro-Business,Socially Moderate,Pro-Union (UK),Atlanticist (Pro-US),,,
GBR,United Kingdom,GBR006,Daily Mail,dailymail.co.uk,Newspaper-Legacy (Mid-Market),Corporate Conglomerate,Anti-Establishment (Right-Populist),Mixed,"Mass/Middle-Class, Older",en,1896,2024-10-15,Reuters Institute 2023,Immensely popular website (Mail Online),,"Socially Conservative, Populist","Law & Order, Anti-Elite",Eurosceptic,Sensationalist,,
GBR,United Kingdom,GBR007,The Sun,thesun.co.uk,Newspaper-Legacy (Red-Top),Corporate Conglomerate (News UK),Populist (Right-Populist),Low,Mass Working-Class,en,1964,2024-10-15,Reuters Institute 2023,Famous for political influence,Populist,Nationalist,Monarchist,Eurosceptic,"Sensationalist, Celebrity Focus",,
GBR,United Kingdom,GBR008,The Independent,independent.co.uk,Newspaper-Legacy (Digital-Only),Independent (Lebedev),Loyal Opposition (Centre-Left Liberal),Generally Reliable,"Urban, Younger, Centrist",en,1986,2024-10-15,Reuters Institute 2023,"""Without Fear or Favour"" slogan",Centrist/Reformist,Socially Liberal,Anti-Conservative Establishment,Pro-European,,,
GBR,United Kingdom,GBR009,Sky News,news.sky.com,TV-Legacy (Digital),Corporate Conglomerate (Comcast),Politically Neutral/Variable,High,National Mass Audience,en,1989,2024-10-15,Reuters Institute 2023,Known for forensic graphics and data,"Pro-Business, Centrist",Mainstream,,,24-Hour Cycle,,
GBR,United Kingdom,GBR010,Channel 4 News,channel4.com/news,Public Service Broadcaster,"State-Owned, Commercial",Anti-Establishment (Investigative),High,"Urban/Professional, Progressive",en,1982,2024-10-15,Reuters Institute 2023,Legally required to challenge status quo,,"Socially Liberal, Pro-Diversity","Anti-Corruption, Investigative",,Documentary-style,,
INDIA (IND),Antigua and Barbuda,ATG003,ABS TV/Radio,abstvradio.com,State Broadcaster,State-Owned,Pro-Government / Pro-ABLP,Low,General Public,en,1973,2024-10-15,Caribbean Media Network,Official government mouthpiece,,,State Propaganda,,Public Announcements,,
country_id,country_name,outlet_id,outlet_name,primary_domain,format,ownership_type,political_alignment,factual_reliability,primary_audience,language_primary,established_year,last_updated,verified_by,notes,tags_economic,tags_sociocultural,tags_governance,tags_foreign,tags_other,,
IND,India,IND001,The Hindu,thehindu.com,Newspaper-Legacy,Family-Owned,"Loyal Opposition (Centre-Left, Secular)",High,"Urban Elite, English-Speaking, Southern India",en,1878,2024-10-15,Reuters Institute 2023,"Most credible newspaper, critical of BJP",Social-Democrat,"Secular, Pro-Federalism",Anti-Nationalist (Hindutva),,Analytical,,
IND,India,IND002,Republic TV,republicworld.com,TV-Legacy (Digital-First),Corporate Conglomerate,Pro-Government/Establishment,Very Low,National Mass Audience,"hi, en",2017,2024-10-15,Reuters Institute 2023,"Epitome of ""Godi Media"", pro-BJP propaganda",Pro-Business,"Hindu Nationalist, Anti-Muslim","Pro-BJP, Populist","Anti-Pakistan, Anti-China","Confrontational, Sensationalist",,
IND,India,IND003,NDTV,ndtv.com,TV-Legacy,Corporate (Adani Group),Transitioning (Was: Anti-Establishment),In Flux,"Urban, English & Hindi","en, hi",1988,2024-10-15,Reuters Institute 2023,Acquisition by Adani Group in 2022,Pro-Business,"Secular, Socially Liberal",Investigative,,,,
IND,India,IND004,The Indian Express,indianexpress.com,Newspaper-Legacy,Corporate,Anti-Establishment (Libertarian),High,"Urban Elite, English & Vernacular",en,1932,2024-10-15,Reuters Institute 2023,"""Journalism of Courage"" motto",Centre-Right Economically,Secular,"Pro-Free Speech, Anti-Censorship",,Investigative,,
IND,India,IND005,Times of India,timesofindia.com,Newspaper-Legacy,Corporate Conglomerate,Pro-Establishment (Pro-Incumbent),Mixed,Mass Urban/Middle-Class,en,1838,2024-10-15,Reuters Institute 2023,World's largest English broadsheet,"Pro-Business, Pro-Status Quo",Socially Conservative,,,"Sensationalist, Celebrity Focus",,
IND,India,IND006,India Today / Aaj Tak,indiatoday.in,TV & Magazine,Corporate,Mainstream Centrist (Shifting Rightward),Generally Reliable,National Hindi/English Mass Audience,"hi, en",1975,2024-10-15,Reuters Institute 2023,"Newsgathering professional, debates partisan",Pro-Business,Increasingly Nationalist-Leaning,Mainstream,,,,
IND,India,IND007,The Wire,thewire.in,Digital-Native (Non-Profit),Foundation/Reader-Supported,"Anti-Establishment (Progressive, Left)",High,"Urban Intellectuals, Activists",en,2015,2024-10-15,Reuters Institute 2023,Faces constant legal harassment,"Anti-Caste, Anti-Neoliberalism","Secular, Progressive","Anti-Corruption, Investigative",,,,
IND,India,IND008,WION,wionews.com,TV-Legacy (Global Focus),Corporate (Essel Group),Pro-Government (Nationalist),Mixed,"Diaspora, Nationalist Viewers",en,2016,2024-10-15,Reuters Institute 2023,"""Global Indian perspective""",,Hyper-Nationalist,Pro-Indian Govt Foreign Policy,"Anti-Pakistan, Anti-China",Global Indian Diaspora Focus,,
IND,India,IND009,Hindustan Times,hindustantimes.com,Newspaper-Legacy,Corporate,Centrist (Leaning Opposition),Generally Reliable,Urban North Indian,"en, hi",1924,2024-10-15,Reuters Institute 2023,Mainstream liberal voice,Pro-Business,Socially Liberal,Mainstream,,,,
IND,India,IND010,Swarajya,swarajyamag.com,Digital-Native,Private/Partisan,Pro-Government (Intellectual Right),Mixed,"Educated, Right-Wing Intellectuals",en,1956,2024-10-15,Reuters Institute 2023,Intellectual scaffolding for Hindu nationalism,Free-Market,Hindu Nationalist Intellectual,"Pro-BJP, Anti-Congress",,Pro-Technology,,
PAKISTAN (PAK),Bangladesh,BGD003,Jamuna Television,jamuna.tv,TV-Legacy,Corporate,Pro-Government / Pro-Awami League,Low,National Mass TV Audience,bn,2014,2024-10-15,Reporters Without Borders 2023,De facto party mouthpiece for ruling Awami League,,Nationalist,Pro-Awami League,Anti-Opposition,Propagandistic,,
country_id,country_name,outlet_id,outlet_name,primary_domain,format,ownership_type,political_alignment,factual_reliability,primary_audience,language_primary,established_year,last_updated,verified_by,notes,tags_economic,tags_sociocultural,tags_governance,tags_foreign,tags_other,,
PAK,Pakistan,PAK001,Dawn,dawn.com,Newspaper-Legacy,Family-Owned,"Anti-Establishment (Liberal, Secular)",High,"Urban Elite, English-Speaking, International",en,1941,2024-10-15,Reporters Without Borders 2023,Often in confrontation with military,Pro-Business,"Secular, Socially Liberal","Pro-Democracy, Critical of Military",,Pro-Free Press,,
PAK,Pakistan,PAK002,Geo News,geo.tv,TV-Legacy,Corporate Conglomerate,Politically Variable (Historically Anti-Military),Mixed,National Mass Audience,ur,2002,2024-10-15,Reporters Without Borders 2023,Has faced severe state pressure,Populist,Nationalist,Pro-Civilian Govt (historically),Variable,Sensationalist,,
PAK,Pakistan,PAK003,ARY News,arynews.tv,TV-Legacy,Corporate Conglomerate,Pro-Establishment (Pro-Military),Low,National Mass Audience,ur,2004,2024-10-15,Reporters Without Borders 2023,Frequently acts as military mouthpiece,Pro-Business,Islamist-Populist,Pro-Military,Anti-India,"Propaganda, Sensationalist",,
PAK,Pakistan,PAK004,The Express Tribune,tribune.com.pk,Newspaper-Legacy,Partnership (Jang/NYT),Loyal Opposition (Centre-Left Liberal),Generally Reliable,"Urban, English-Speaking Youth",en,2010,2024-10-15,Reporters Without Borders 2023,"Youth-oriented, climate reporting",Pro-Business,Socially Liberal,,Pro-US Ties,Environmental Focus,,
PAK,Pakistan,PAK005,The News International,thenews.com.pk,Newspaper-Legacy,Corporate Conglomerate,Politically Neutral/Variable,Generally Reliable,Broad National Audience,"en, ur",1991,2024-10-15,Reporters Without Borders 2023,Largest-circulation English newspaper,Pro-Business,Mainstream Urdu/English,,,Investigative,,
PAK,Pakistan,PAK006,Pakistan Today,pakistantoday.com.pk,Newspaper-Legacy (Digital-First),Private/Group,Anti-Establishment (Centre-Left),Generally Reliable,"Urban, Politically Engaged",en,2009,2024-10-15,Reporters Without Borders 2023,"Bold, critical editorials",,Secular,"Anti-Military, Pro-Democracy",,Pro-Federalism,,
PAK,Pakistan,PAK007,Samaa TV,samaa.tv,TV-Legacy,Corporate Conglomerate,Politically Flexible (Often Pro-Government),Mixed,"Urban Youth, Mass Audience",ur,2007,2024-10-15,Reporters Without Borders 2023,Flashy presentation style,,Populist,Pro-State Narrative,,Crime & Entertainment Focus,,
PAK,Pakistan,PAK008,Nawa-i-Waqt / The Nation,nawaiwaqt.com.pk,Newspaper-Legacy,Family-Owned,Pro-Establishment (Right-Islamist),Mixed,"Rural/Conservative, Urdu Heartland",ur,1940,2024-10-15,Reporters Without Borders 2023,"Voice of conservative, religious Pakistan",,"Islamist, Socially Conservative",Pro-Military (traditionally),Anti-India,,,
PAK,Pakistan,PAK009,92 News HD,92newshd.tv,TV-Legacy,Private/Group,"Populist, Anti-Status Quo",Low,"Urban, Pro-PTI/Imran Khan Supporters",ur,2012,2024-10-15,Reporters Without Borders 2023,Primary outlet for Imran Khan's narrative,,Hyper-Populist,"Pro-PTI, Anti-Corruption",,Confrontational,,
